天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
ESTATE,estate,英n.财产；遗产；房地产；状态；庄园
生活在左,生活在左,生活在左 （ALifeOnTheLeft） ，是广州市汇美服装有限公司茵曼集团旗下服装品牌，品牌创立于2014年。其产品多使用天然材质，擅长使用全棉、真丝、苎麻、等天然面料，产品工艺涵盖钩花，重绣，缎带绣等手工工艺。
TMT,tmt,TMT（Technology，Media，Telecom），是科技、媒体和通信三个英文单词的缩写的第一个字头，整合在一起。含义实际是未来（互联网）科技、媒体和通信，包括信息技术这样一个融合趋势所产生的大的背景，这就是TMT产业
SANKEN,Sanken,Sanken由设计师闵哲贤于2012年1月27年成立于韩国，品牌标识中的三个“+”号分别代表自信、自我与自由。
纳豆,纳豆,纳豆 ，起源于中国古代 ，自秦汉（公元前221年-公元220年）以来开始制作，由黄豆通过纳豆菌（枯草杆菌）发酵制成豆制品，具有黏性，气味较臭，味道微甜，不仅保有黄豆的营养价值、富含维生素K2、提高蛋白质的消化吸收率，更重要的是发酵过程产生了多种生理活性物质，具有溶解体内纤维蛋白及其他调节生理机能的保健作用。 富含多种营养素，常吃可以预防便秘、腹泻等肠道疾病，提高骨密度，预防骨质疏松，还可以双向调节血压，溶解陈旧血栓斑块，调节血脂，能消除疲劳，综合提高人体免疫力。 
中雀,中雀,
史丹利,史丹利,史丹利（STANLEY）是美国著名工具制作商史丹利百得公司百年经典旗舰工具及安防系统品牌。
穿越,穿越,穿越是穿越时间和空间的简称。通俗的是指某人物因为某原因，经过某过程（也可以无原因无过程），从所在时空（A时空）穿越到另一时空（B时空）的事件。
Titleist,Titleist,Titleist是高尔夫球、高尔夫球杆行业内著名的品牌，它隶属于美国马萨诸塞州Fairheaven的一家高尔夫公司Acushnet。同时，Acushnet还拥有Titleist、FootjoyPinnacle三个子品牌。
仕途,仕途,仕途是汉语词汇，汉语拼音为shìtú，就是指知识分子通过学习和应试等方式，转变成国家管理者的过程；也可叫做官的途径、做官的道路、做官的生涯、做官的过程。另有图书仕途。
FURY,Fury,Fury是2014年上映的由布拉德皮特主演的电影《狂怒》的英文名，在电影中这是一辆坦克的名字。
LOCAL LION,local lion,一家集设计、生产、管理、零售、服务于一体的箱包专业企业。
YUCHI,优奇族,优奇人跑起来非常快，也很聪明，可堪称为「丛林之王」，比其他族的人都更会吹箭，行动非常隐密·总是在你看见他们之前，他就先看见你了，甚至你根本看不见他们，连一片叶子都不会惊动，噗！噗！你就死了。
SEOBEAN,SEOBEAN,SEOBEAN为中国著名内衣品牌希宾的英文名称，该品牌于2006年创建于中国。
Kolumb,哥仑步,福建哥仑步户外用品有限公司是一家拥有10年经验的品牌运营公司，积极致力于户外运动产品的研发、生产、推广，是国内领先的户外运动品牌公司之一。
男主角,男主角,男主角是戏剧、电影等影视作品和ACGN作品中故事的主要男性角色，相对于男主角，还有男配角（次要角色）、路人甲和反派等。
bossini,bossini,堡狮龙国际集团有限公司BossiniInternationalHoldingsLimited(在一九九三年於香港联合交易所有限公司（股份代号：592)上市）及其附属公司(「堡狮龙」bossini)是区内具领导地位的服装品牌拥有人、零售商和特许经营商。堡狮龙总部设於香港，自一九八七年开设首间零售店铺以来，经过约二十年的迅速发展，已建立了一个庞大的全球性营运平台及分销网络，并成功将业务拓展至全球约三十个国家及地区，以香港、中国大陆、台湾、新加坡及马来西亚为五大核心市场。
天禧,天禧,天禧（1017年—1021年）是宋真宗的年号，北宋使用这个年号共5年。天禧元年、二年、三年、四年、五年为公元1017年、1018年、1019年、1020年、1021年。
李维斯,李维斯,李维斯（Levi's）是著名的牛仔裤品牌，由犹太商人LeviStrauss（李维·斯特劳斯）创立。1853年，LeviStrauss成立了生产帆布工装裤的LeviStrauss&Co.公司。1873年他与另一伙人JACOBDAVIS把他们生产的扣钮牛仔裤上所用的「撞钉」注册专利，标志着第一条牛仔裤的诞生。作为牛仔裤的“鼻祖”，Levi's象征着美国野性、刚毅、叛逆与美国开拓者的精神。它历经一个半世纪，从美国流行到全世界，并成为全球各地男女老少都能接受的时装。靛蓝牛仔斜纹布、腰后侧的皮章、裤后袋上的弧线、铆钉、独有的红旗标等都是李维斯的特点。李维斯百年来不断追求创新，1960年，推出水洗系列牛仔裤，1967年出现喇叭口裤型、1986年开始生产预先穿洞的破烂牛仔裤、将牛仔裤裤管翻过来的“翻边”、2003年性感新潮剪裁独特、款式至酷的TYPE1TM系列。
Kcecee one,Kcecee one,Kceceeone源自英国，简称K1，成立于2014年，是一家研究以生命科学和运动科学为基础，生产科技类健身器材以及配件为主的企业。健身器材为其主力产品，产品的顾客群以热爱生活和追求卓越的年轻人为主。其产品设计追求细节精准以及独一无二产品配色更是大胆出众，彻底颠覆传统健身器材行业模式，体现出了超越产品本身的品牌精神文化。可以说，K1作为追求卓越器材以及零配件到极致的品牌，赋予每个产品以独特的设计精神及内涵。K1作为追求自我卓越的狂热支持者，深受众多有理想消费群组的追随、喜爱和认同。 
仓吉,仓吉,仓吉：女、藏族，1968.7月出生在西藏日喀则，1992年7月参加工作，1992年5月加入中国共产党。
恩斯迈,恩斯迈,微星科技（MSI恩斯迈）成立於1986年8月，英文品牌名称：Micro-Star。总部位於台湾新北市中和区。是全球前五大主板厂商之一和第一大显示卡生产商。微星於1985年由徐祥、黄金请、林文通、游贤能、卢琪隆五位曾任职於台湾新力公司的工程师共同创办。草创初期以技术、品质建构起板卡事业。
卡西欧,卡西欧,卡西欧（CASIO，カシオ计算器株式会社）是日本一家生产电子仪器、电子计算器公司旗下的品牌。该品牌于1946年4月由樫尾忠雄创立，他是一名精通装配的工程师。品牌的名字来自樫尾的日语读音Kashio。 卡西欧TR系列的初衷也是为女性打造TOP的美颜拍摄感受，最新的光影美颜功能即便在暗处拍摄也能展现自然肌肤状态。 2018年5月9日，卡西欧公司宣布，将退出小型数码相机市场。 
蓝航,蓝航,东莞蓝航电子是一家以设计研究、产品开发为龙头，集生产、销售、服务于一体的变压器生产多元化公司，厂房面积1200平方米，位于广东省东莞市联成工业区。
Qianshou,qianshou,《qianshou》是一款Android平台的应用。
epc,EPC,EPC（EngineeringProcurementConstruction）是指公司受业主委托，按照合同约定对工程建设项目的设计、采购、施工、试运行等实行全过程或若干阶段的承包。通常公司在总价合同条件下，对其所承包工程的质量、安全、费用和进度进行负责。在EPC模式中，Engineering不仅包括具体的设计工作，而且可能包括整个建设工程内容的总体策划以及整个建设工程实施组织管理的策划和具体工作；Procurement也不是一般意义上的建筑设备材料采购，而更多的是指专业设备、材料的采购；Construction应译为“建设”，其内容包括施工、安装、试测、技术培训等。 还应包括全部正常达标，接手就可正常使用。交付前应做无负荷试运行、还包括带负荷联动试运行、试生产直至达产达标，正常生产为止。
大依优型,大依优型,大依优型于2010年7月正式上线，是一只完善的网络运营团队，致力于打造专为大码精英男士提供商务休闲服饰的自主原创品牌。 
鲸鱼,鲸目,鲸属于脊索动物门，脊椎动物亚门，哺乳纲，真兽亚纲，包含了大约98种生活在海洋、河流中的胎生哺乳动物。中国海域就有30余种。鲸目的所有种类中除几种生活在淡水外，其他均栖息于海洋 。鲸本身定义比较模糊，鲸目可以包含所有鲸类，还有特定科的鲸类。鲸目中还包括所有海豚。鲸目主要分为两个子目：须鲸（Mysticeti）和齿鲸（Odontoceti）。须鲸的种类较少，但体型巨大，目前已知最小的种类体长也超过6米，世界上最大的动物蓝鲸也属于须鲸。然而齿鲸类的体形差异比较大，最小的种类体长仅有30cm左右，最大的抹香鲸体长在20米以上。鲸并不属于鱼类。鲸属于哺乳动物类。
华佗,华佗,华佗 （约公元145年－公元208年），字元化，一名旉，沛国谯县人，东汉末年著名的医学家。华佗与董奉、张仲景并称为“建安三神医”。少时曾在外游学，行医足迹遍及安徽、河南、山东、江苏等地，钻研医术而不求仕途。他医术全面，尤其擅长外科，精于手术。并精通内、妇、儿、针灸各科。 晚年因遭曹操怀疑，下狱被拷问致死。华佗被后人称为“外科圣手” 、“外科鼻祖”。被后人多用神医华佗称呼他，又以“华佗再世”、“元化重生”称誉有杰出医术的医师。
weisi,WEISI,WEISI ，中文名为威士，全球门锁五金的绝对领导品牌，中国电子商务领域销量领先的知名网商，国际知名项目的主要建材五金供应商。
加加林,尤里·阿列克谢耶维奇·加加林,尤里·阿列克谢耶维奇·加加林（YuriAlekseyevichGagarin，1934年3月9日—1968年3月27日），世界第一名航天员，苏联英雄，前苏联太空人，前苏联红军上校飞行员，是第一个进入太空的地球人，也是第一个从太空中看到地球全貌的人。加加林生于前苏联斯摩棱斯克州格扎茨克区的克卢希诺镇一个集体农庄庄员家庭，白俄罗斯人。1955年从萨拉托夫工业技术学校毕业后参军。1957年在契卡洛夫第一军事航空飞行员学校结业，成为红旗北方舰队航空兵歼击机飞行员，同年与瓦莲京娜结婚。1960年被选为航天员，加入苏联共产党。1968年3月27日因飞机失事遇难，但具体死因仍众说纷纭。 2016年4月12日，俄罗斯乌格列戈尔斯克，当地举办由尤里-加加林完成的世界首次载人太空飞行55周年纪念活动。 
蚁王,蚁王,作品讲述了小镇上的江湖故事。终日混迹于街头的小马，给平日对他有恩的达哥复仇，杀死黑疤的时候，却没料到黑疤唯一的儿子也遭害了。这个节外生枝，让他一下子内心陷入了内疚当中。他寻找到杀害黑疤儿子的凶手，一位看上去弱不禁风的小孩，将他拎到黑疤的葬身之地的水库边，同时小马也等来了自己的倒计时…… 
巴锡,巴锡,第十二任云贵总督。
金史密斯,金史密斯,金史密斯 是北京金史密斯健身器材有限公司旗下的一个品牌。该品牌2006年6月29日申请注册，主要为健身器材。
SOLOMO,索罗门,SoLoMo由“Social”（社交的）、“Local”（本地的）、“Mobile”（移动的）三个单词的开头两个字母组合而成的，连起来说就是“社交本地移动”，即社交加本地化加移动。它代表着未来互联网发展的趋势。
艺汇家,艺汇家,北京艺汇家投资管理有限公司是中华人民共和国文化部、中华人民共和国民族事务委员会、中国国际贸易促进委员会、中国轻工业联合会、北京市怀柔区人民政府、大力扶持的文化创意产业园区，是怀柔区重点建设项目之一，由金太阳投资集团投资兴建的手工生活艺术品市场。
翔龙,翔龙无人机,翔龙无人机（英文：SoarDragon ），是中国中航工业成都飞机工业公司自主研究和设计的一种大型无人机。“翔龙”高空高速无人侦察机全机长14.33米，翼展24.86米，机高5.413米，正常起飞重量6800公斤，任务载荷600公斤，机体寿命暂定为2500飞行小时。作战半径2000～2500公里，续航时间最大10小时，起飞滑跑距离350米，着陆滑跑距离500米。
悍风,悍风,《悍风》是由狂飙De宅男编写的一本小说。连载网站起点中文网。
墨季,墨季,
远古人,远古人,他们可不是摩登原始人。真正的穴居人可没有时间鬼混；他们得忙着和掠食者搏斗、狩猎觅食，为生存大计奔走。他们的生活非常简陋，环境恶劣，寿命也很短。但无论如何，他们还是设法在350万年的时间内转型成这个世界上已知成就最高的物种：智人。
潮流,潮流,本义指由潮汐引起的水流运动，引申义为流行趋势的动向，比喻社会变动或发展的趋势，在电力工程中特指电网各处电压（包括幅值与相角）、有功功率、无功功率等的分布。
杜臣,杜臣,杜臣（MichaelDobson），英格兰足球运动员现效力球队是沃尔索尔，在场上的位置是后卫
航宇,航宇,航宇，男1964年生，汉族，陕西清涧人。1982年在清涧县店则沟乡任文化专干。1985年在清涧县文化局工作。1989年在陕西作家协会当编辑。1994年在陕西省延安精神研究会工作。1994年加入中国作家协会。
创世纪,创世纪,《创世纪》是TVB出品的时装商战电视剧，由戚其义监制，罗嘉良、陈锦鸿、郭晋安、古天乐、吴奇隆、郭可盈、陈慧珊、蔡少芬、汪明荃、邵美琪、马德钟等主演 。总投资1.5亿港元，是港剧中的鸿篇巨制。《创世纪》分为两部。主要讲述叶荣添和许文彪白手起家的创业过程和经历环境后的人性转变。2012年亚洲偶像盛典上，罗嘉良凭借在《创世纪》中演绎的叶荣添，获得90年代最经典男角色奖 。2016年8月25日香港TVB电视台将宣布签署网络视频平台长期深度战略合作协议，包括再续TVB标志性商战IP《创世纪》，打造网剧《再创世纪》。 
Member's Mark,Member's Mark,
秦豹,秦豹,秦豹，男，汉族，1971年5月出生，现任阜新市海州区人大常委会副主任，2016年3月，拟任中共阜新市海州区委常委。 
东之杰,东之杰,东之杰运动产业发展（集团）有限公司于1997年成立于美丽的滨海城市大连，公司注册资本7800万元，是一家诚信经营、管理规范、具有相当规模、专业经销体育用品的外商独资企业。
引力,引力,引力（英语：Gravitation、Gravity），是指具有质量的物体之间加速靠近的趋势，其来源于物体自身质量对于时空的弯曲，而不是源于重力场间的相互拉扯。因此，引力并不是我们常常理解的那种作用力，而是由时空弯曲形成。主要跟宇宙压力，宇宙速度，空间维度，磁场强度，物体结构有关。
梦兮,梦兮,《梦兮》是17k小说网连载的小说，作者是墨黎君卿。
红袖,红袖,红袖是汉语词汇，拼音hóngxiù，是指古代女子襦裙长袖，后来就成了女子的代名词。出自南朝齐王俭《白紵辞》之二：“情发金石媚笙簧，罗袿徐转红袖扬。”唐杜牧《书情》诗：“摘莲红袖湿，窥渌翠蛾频。”后蜀欧阳炯《南乡子》词：“红袖女郎相引去，游南浦，笑倚春风相对语。” 
遇见幸福,遇见幸福,《遇见幸福》为由陈奕与沈建宏组成的AK组合于2013年发行的专辑《Gentleman》中的一首歌曲。AK的《遇见幸福》这首歌是以第三人献上祝福为基调的一首歌，歌词很口语却又不落俗套，易懂也很有深度。为婚礼填满甜蜜幸福，将是最能见证新人间幸福宣言的代表作。
U&X,U&X,
阿迪达斯,adidas,adidas（阿迪达斯）创办于1949年，是德国运动用品制造商阿迪达斯AG成员公司。以其创办人阿道夫·阿迪·达斯勒（AdolfAdiDassler）命名，1920年在黑措根奥拉赫开始生产鞋类产品。1949年8月18日以adidasAG名字登记。阿迪达斯原本由两兄弟共同开设，在分道扬镳后，阿道夫的哥哥鲁道夫·达斯勒（RudolfDassler）开设了运动品牌puma。其经典广告语：“没有不可能”（Impossibleisnothing）。2011年3月，斥资1.6亿欧元启用全新口号——adidasisallin（全倾全力）。2017年6月，adidas入选《麻省理工科技评论》2017年度全球50大最聪明公司”榜单。 
万多,万多,万多是一名巴西籍足球运动员，球场位置是前锋。
Lezyne,LEZYNE,LEZYNE成立于2007年3月1日，由行业领袖和其他行业的合作伙伴成立。
白雪公主,白雪公主,白雪公主（SnowWhite）是广泛流行于欧洲的一个童话故事中的人物，其中最著名的故事版本见于德国1812年的《格林童话》。讲述了白雪公主受到继母皇后（格林兄弟最初手稿中为生母）的虐待，逃到森林里，遇到七个小矮人的故事。历史学家巴特尔思据称白雪公主的历史原型是1725年生于德国西部美茵河畔洛尔城的玛利亚·索菲亚·冯·埃尔塔尔。 美丽的白雪公主受继母的嫉妒而被多次置于死地，最后在七个小矮人和王子的帮助下获得新生。爱慕虚荣、贪恋美貌的王后总是爱问镜子：“魔镜魔镜，谁是这个世界上最美的女人？”当镜子说是白雪公主时，王后就伪装成巫婆，骗白雪公主吃下毒苹果。吃下毒苹果的白雪公主被随后出现的王子救了，最终王子和公主幸福地生活在一起，王后得到了应有的惩罚。 
NEAR,尼亚,尼亚为日本动漫《死亡笔记》以及同名动画、电影中的人物，本名NateRiver。出身于华米兹之家，是L的继承者。竞争对手为梅罗，梅罗牺牲后，尼亚发现了梅罗留下的线索，从而击败了kira。华米兹之家的NO.1，是L真正的继承者。在每一次说的话中，大部分与L相关，视L为自己追逐的人，自己生存下去的唯一理由，也是真正理解L的人。在击败kira后，继承了L的位置，成为第三代L。
西村名物,西村名物,
尊尚,尊尚,福建尊尚服饰有限公司所拥有的服装品牌。
君别,君别,
神州骆驼,神州骆驼,曾经历过一种款式两种颜色一统天下的年代也遭遇过不分时间场合仅靠一件不甚合体的西服贯穿始终的尴尬。如今，寻求突破的男士们正在不动声色、不着痕迹地演绎着自己的时尚。如今神州骆驼解开了历史的锚索，打破了传统的观念，为成功男士精心准备了简约自然的休闲装备，随时随地地给男士们便捷、假期的轻松体验。
玉鼠,玉鼠,玉鼠是一种脊索动物门白色蝙蝠。
Magnum,MAGNUM,因为MAGNUM的成功，FRANKVANWEZEL成立了独立的MAGNUM公司，专门为全球精锐及纪律部队设计与生产高性能时尚的鞋及服饰产品。至今MAGNUM已成为全世界最具规模的精锐服饰品牌，产品畅销70多个国家。
兴乐,兴乐乡,兴乐乡，东与黄渡乡相连，南与花桥相连，西与花桥镇、花源镇相连，北与花源镇相连。川藏路、成乐路穿乡而过。乡政府设在中兴村，距县城9公里，距成都市27公里。
NFL,美式橄榄球联盟,美国职业橄榄球大联盟是指国家橄榄球联合会（NationalFootballConference），简称国联（NFC）和美国橄榄球联合会（AmericanFootballConference），简称美联（AFC）合并后的名称。NFL职业橄榄球大联盟北美四大职业体育运动联盟之首，也是世界上最大的职业橄榄球大联盟。联盟最早在1920年5月以美国职业美式橄榄球协会（AmericanProfessionalFootballAssociation）的名义成立，后来在1922年1月28日改名为国家橄榄球联盟。NFL职业橄榄球联盟由32支来自美国不同地区和城市的球队组成，分为美国美式橄榄球联会（AFC）和国家美式橄榄球联会（NFC）两个联会。每个联会由东西南北四个分区组成，每个分区有四支球队和附属球员。每年的赛事分为季前（Preseason）、常规季（RegularSeason）和季后（Playoff）三个时间段。季前赛共四周，作为常规赛的热身。2018年2月4日，费城老鹰以41-33击败了新英格兰爱国者，赢得了其首座超级碗冠军。 
MIAO,MIAO,卢巧音，曾与王力宏合唱《好心分手》红极一时！
skyfire,skyfire,Skyfire是国外比较流行的一款全功能浏览器（免费，非开源），由多个平台版本，我们通过E71来体验SymbianOS平台版本的Skyfire。Skyfire的特性是可以完美还原网页内容，特别是Flash视频，同时还支持AJAX技术。
锦香,锦香,锦香，桃科植物。果实近圆或椭圆形，单果平均重180-206克，大果重246克，果顶圆平，果实两半匀称，果面底色金黄，色卡6级，近核无红色，果肉黄色，硬溶质，风味甜，微酸，汁液中等，香气浓。粘核，核椭圆形，核面粗糙。在上海地区成熟期为6月下旬。
Benelli,Benelli,Benelli（贝纳利），欧洲知名摩托车品牌，现主营摩托车、电动自行车。创始于1911年意大利Pesaro市，作为世界上最早的摩托车、助力自行车制造商之一，即使世界战争和经济大萧条也无法阻挡贝纳利匠师们的创造与制作热情。百年时光，贝纳利品质恒在，贯穿了意大利工业文明的整个美好时代。 
净界,清净世界,清净世界是一种卡片种类为场地魔法的游戏卡片。
唐邦,唐邦,江苏唐邦机电有限公司是一家专业从事全自动麻将机研发、制造、销售和服务的美国纳斯达克上市企业，始建于2002年，其前身是南京奥东康体设备有限公司。
巴玛特,巴玛特,巴玛特(BalManent)，广州市佳叶贸易有限公司旗下皮具品牌，主导产品为中高男士皮具及配饰，其中包括男士皮带、钱包、旅行包、手提包、公文包等产品。 
Qia,QIA,QIA是QAM信号劣化分析或者QAM信号损伤分析的缩写。也是卡塔尔投资局的缩写。经济术语
京路发,京路发,京路发企业以卓越的产品，一流的服务，合理的价格服务于广大客户·公司所售苫布、帐篷用于各类户外临时建筑、货物苫盖、临时仓库、救灾防汛等。以及个行业的仓储运输。
骑兵连,骑兵连,骑兵连是电视剧《亮剑》中的部队编制。
宾毅,宾毅,宾毅，广西柳州铁路运输检察院司法警察。从检22年来，宾毅克服管辖线路长、涉及地域广等诸多困难，顺利执行提押、传唤、搜查、追捕逃犯等法警任务1300余次。宾毅严守办案纪律，廉洁正直，坚持司法为民，做群众贴心人，先后荣立三等功2次。2016年2月，宾毅突发脑溢血，经抢救无效不幸去世。 
Maruman,Maruman,Maruman是著名的日本高尔夫品牌，公司创立于1971年，最初是生产打火机，1974开始生产高尔夫球杆。Maruman是高尔夫行业的先行者、创新者，先后创新开发出碳素杆身、金属木杆杆头。其DANAGAN系列木杆是首款应用金属球头代替木制球头的高尔夫木杆产品，对高尔夫球杆改进产生了深远的影响。后来Maruman又致力于研究利用钛金属、纳米材料等来设计制造高尔夫球杆和球，并取得了一系列的专利。
迈路士,迈路士,迈路士音译自英文maleroads，寓意一群勇于探险的人大胆的开辟前行的道路，不畏艰险，毅然前行。这个品牌来自于一个传奇故事。
Sunseeker,圣汐,一、Sunseeker品牌于1970年诞生于澳洲西海岸斯卡伯勒郊外的阳光海滩，40多年以来已改写了澳大利亚甚至全球的泳装时尚风潮。时尚的设计、合身的剪裁以及舒适的布料令其在全球有口皆碑，也赋予消费者宛若「第二层肌肤」的极致穿着感。作为以女款泳装起家的品牌，Sunseeker始终深谙女性需求，与时俱进地不断打造出舒适与美感兼备的时款泳衣，令女士们尽现婀娜多姿的优雅身段。发展至今，Sunseeker也特别提供高品质的男款和趣致的儿童款泳装，让全家共享阳光沙滩的时尚魅力。自1973年起，Sunseeker开始开发自己的泳装材质，这一源于欧洲的出色微纤维材质触感柔软，具有快干、耐氯性、抗紫外线等领先功能设计，并成为其产品的制胜之本。Sunseeker始终力求通过顶级材质与前卫设计打造与身材完美契合的泳装单品，确保入水和出水时轻松舒适。同时，作为作为全球最早开发出分体式泳衣的品牌之一二、1968年，在英国多塞特郡（Dorset）的普尔（Poole），RobertBraithwaite开始涉足制造第一艘游艇的时候，他并不知道，从此，“豪华游艇”的定义将被他彻底改变。SunseekerInternational有限公司的董事RobertBraithwaite和JohnBraithwaite俩兄弟，于1962年开始在英格兰南部靠近南安普敦的普尔建造最好最高级的游艇。直到今天，他们建造的游艇也始终比其他同类产品更大、更好、速度也更快。
透蜜,透蜜,透蜜源自“英国眼护大师”的花蜜护肤品牌，于2011年正式在中国地区大力推广。
老鞋匠,老鞋匠,浙江老鞋匠鞋业有限公司创建于1999年。公司崛起于中国市场正步入竞争异常激烈的时期，以诚信立企、品牌立业为公司经营战略，从诸多品牌举步唯艰的氛围中脱颖而出，可谓中国鞋业品牌的灿烂新星。公司坐落于中国鞋都——温州瓯北东瓯工业区，拥有大型现代化工业园区，具有雄厚的技术实力，引进意大利多条先进制鞋流水线，生产能力可以充分满足全国客商的需求，配货速度迅速及时。公司配有质量检测中心，并通过ISO9002国际质量体系认证，并佩挂中国真皮标志，在意大利、香港、广州、成都设立信息中心、研发基地。产品款式新颖，工艺精湛。
ZEPP,ZEPP,ZEPP是泽普互动（北京）科技有限公司（英语：ZEPPLabsInc）的智能传感器品牌。 ZEPP成立于2010年，创始人为韩铮，是一家致力于将科技与体育结合在一起的智能硬件科技公司。ZEPP一直专注于通过最新科技对体育运动进行记录和分析，并为用户提供训练指导以及交互式训练工具。目前，ZEPP的传感器产品覆盖高尔夫棒球和网球等多个项目，2016年4月20日ZEPP推出了软件产品北看台App。 
新动力,新动力,小区位于朝阳路定福庄北街，罕有的低密度多层、小高层板式住宅、小进深、大面宽、40-140平方米极品小户型，让CBD白领各得其所，独有的精装小户型酒店式小公寓，让您的生活自在惬意。美然动力街区青春、时尚、简约，是现代风格与实用主义的完美结合，CBD白领的完美居所，就在新动力街区。
